Thread Size	Length	Thread Starts	Speed Ratio	Travel Distance per Turn	Thread Fit	Fastener Strength Grade	Hardness	Tensile Strength	Specifications Met	Part Number	Price	Material	Thread Direction
"3/4""-6"	2 ft.	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A917	9.41	Carbon Steel	right
"3/4""-6"	3 ft.	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A838	12.73	Carbon Steel	right
"3/4""-6"	4 ft.	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A918	16.33	Carbon Steel	right
"3/4""-6"	6 ft.	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A036	26.04	Carbon Steel	right
"3/4""-6"	8 ft.	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A919	33.81	Carbon Steel	right
"3/4""-6"	12 ft.	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A653	36.73	Carbon Steel	right
"3/4""-8"	"12"""	1	1:1	"0.125"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A736	4.5	Carbon Steel	right
"3/4""-8"	3 ft.	1	1:1	"0.125"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A842	12.91	Carbon Steel	right
"3/4""-8"	6 ft.	1	1:1	"0.125"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A039	23.46	Carbon Steel	right
"7/8""-6"	"12"""	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A739	12.38	Carbon Steel	right
"7/8""-6"	3 ft.	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A846	16.68	Carbon Steel	right
"7/8""-6"	6 ft.	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A037	37.64	Carbon Steel	right
"7/8""-6"	12 ft.	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A662	60.67	Carbon Steel	right
"1""-4"	"12"""	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A741	17.9	Carbon Steel	right
"1""-4"	3 ft.	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A853	24.35	Carbon Steel	right
"1""-4"	6 ft.	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A109	40.88	Carbon Steel	right
"1""-5"	"12"""	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A744	10.1	Carbon Steel	right
"1""-5"	2 ft.	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A921	15.79	Carbon Steel	right
"1""-5"	3 ft.	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A861	18.9	Carbon Steel	right
"1""-5"	4 ft.	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A922	30.5	Carbon Steel	right
"1""-5"	6 ft.	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A110	35.77	Carbon Steel	right
"1""-5"	8 ft.	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A923	51.35	Carbon Steel	right
"1""-5"	12 ft.	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A672	68.75	Carbon Steel	right
"1""-6"	"12"""	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A748	12.2	Carbon Steel	right
