Thread Size	Height	Width	Starts	Speed Ratio	Travel Distance per Turn	Thread Fit	Hardness	Specifications Met	Part	Cost	Material	Direction	Type
"1""-10"	"63/64"""	"1 5/8"""	1	1:1	"0.1"""	Class 2G	Rockwell B75	__	98948A124	13.31	Zinc-Plated Carbon Steel	right	hex
"1 1/8""-5"	"1 7/64"""	"1 13/16"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	__	98948A125	20.89	Zinc-Plated Carbon Steel	right	hex
"1 1/4""-4"	"1 7/32"""	"2"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	__	98948A126	25.59	Zinc-Plated Carbon Steel	right	hex
"1 1/4""-5"	"1 1/4"""	"2"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	__	98948A820	25.58	Zinc-Plated Carbon Steel	right	hex
"1 3/8""-4"	"1 11/32"""	"2 3/16"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	__	98948A127	43.71	Zinc-Plated Carbon Steel	right	hex
"1 1/2""-4"	"1 15/32"""	"2 3/8"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	__	98948A128	43.8	Zinc-Plated Carbon Steel	right	hex
"1 1/2""-5"	"1 15/32"""	"2 3/8"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	__	98948A129	43.8	Zinc-Plated Carbon Steel	right	hex
"2""-4"	"1 31/32"""	"3"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	__	98948A131	113.05	Zinc-Plated Carbon Steel	right	hex
"2 1/4""-4"	"2 1/2"""	"3 1/2"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	__	98948A132	228.29	Zinc-Plated Carbon Steel	right	hex
"2 1/2""-4"	"2 1/2"""	"3 1/2"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	__	98948A133	228.29	Zinc-Plated Carbon Steel	right	hex
"3/8""-12"	"3/8"""	"3/4"""	1	1:1	"0.083"""	Class 2G	Rockwell B75	ASTM B16	95155A111	5.28	360 Brass	right	hex
"1/2""-10"	"1/2"""	"7/8"""	1	1:1	"0.1"""	Class 2G	Rockwell B75	ASTM B16	95155A114	6.2	360 Brass	right	hex
"5/8""-8"	"5/8"""	"1 1/16"""	1	1:1	"0.125"""	Class 2G	Rockwell B75	ASTM B16	95155A119	7.96	360 Brass	right	hex
"3/4""-5"	"3/4"""	"1 1/4"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	ASTM B16	95155A123	10.03	360 Brass	right	hex
"3/4""-6"	"3/4"""	"1 1/4"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	ASTM B16	95155A127	10.03	360 Brass	right	hex
"7/8""-6"	"7/8"""	"1 1/2"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	ASTM B16	95155A143	13.72	360 Brass	right	hex
"1""-5"	"1"""	"1 5/8"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	ASTM B16	95155A147	16.09	360 Brass	right	hex
"1""-6"	"1"""	"1 5/8"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	ASTM B16	95155A151	16.09	360 Brass	right	hex
"1""-10"	"1"""	"1 5/8"""	1	1:1	"0.1"""	Class 2G	Rockwell B75	ASTM B16	95155A155	16.09	360 Brass	right	hex
"1 1/8""-5"	"1 1/8"""	"1 3/4"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	ASTM B16	95155A159	22.7	360 Brass	right	hex
"1 1/4""-5"	"1 1/4"""	"2"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	ASTM B16	95155A163	30.49	360 Brass	right	hex
"1 1/2""-4"	"1 1/2"""	"2 1/4"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	ASTM B16	95155A167	41.88	360 Brass	right	hex
"2""-4"	"2"""	"3"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	ASTM B16	95155A171	93.26	360 Brass	right	hex
"2 1/2""-4"	"2 1/2"""	"3 1/2"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	ASTM B16	95155A179	136.97	360 Brass	right	hex
"1/4""-16"	"13/64"""	"1/2"""	1	1:1	"0.063"""	Class 2G	Rockwell B97	__	95066A105	6.71	18-8 Stainless Steel	right	hex
"3/8""-8"	"23/64"""	"11/16"""	1	1:1	"0.125"""	Class 2G	Rockwell B97	__	95066A206	13.03	18-8 Stainless Steel	right	hex
"3/8""-10"	"23/64"""	"11/16"""	1	1:1	"0.1"""	Class 2G	Rockwell B97	__	95066A207	13.03	18-8 Stainless Steel	right	hex
"3/8""-12"	"23/64"""	"11/16"""	1	1:1	"0.083"""	Class 2G	Not Rated	__	95066A208	12.17	18-8 Stainless Steel	right	hex
